Track,Question_no,Question,Answer_A,Answer_B,Answer_C,Correct Answer
IT (AR),1,"تلقيت بريداً إلكترونياً من شخص يدّعي أنه المدير التنفيذي يطلب منك بشكل عاجل شراء بطاقات هدايا بقيمة 25,000 درهم. ماذا تفعل؟",شراء بطاقات الهدايا فوراً.,التحقق من الطلب قبل اتخاذ أي إجراء.,الاتصال بمساعد المدير التنفيذي الأسبوع القادم للسؤال.,B
IT (AR),2,أبلغ موقع البناء عن انقطاع الإنترنت ولا يستطيع المهندسون الوصول إلى أحدث الرسومات. ما خطوتك الأولى؟,إخبار الفريق بمواصلة العمل بدون الرسومات.,مطالبة الجميع باستخدام هواتفهم كنقاط اتصال لبقية الأسبوع.,التحقيق في اتصال الموقع وتحديد سبب الانقطاع.,C
IT (AR),3,يريد قسم الموارد البشرية إدخال مساعد ذكاء اصطناعي للإجابة على أسئلة الموظفين. ما توصيتك؟,مراجعة المتطلبات والتأكد من حماية بيانات الشركة قبل التطبيق.,السماح للموارد البشرية بتحميل ملفات الشركة السرية في أي أداة ذكاء اصطناعي عامة لاختبارها.,إخبار الموارد البشرية بأن الذكاء الاصطناعي جديد جداً ولا ينبغي استخدامه.,A
IT (AR),4,يتوقف موقع الشركة الإلكتروني فجأة بعد إطلاق قسم التسويق حملة كبرى. ما أولويتك؟,بناء موقع إلكتروني جديد تماماً على الفور.,التحقيق في حالة الاستضافة ونظام أسماء النطاقات والخادم لتحديد السبب.,انتظار بضع ساعات لترى إن كان يعود من تلقاء نفسه.,B
IT (AR),5,يبدأ موظف جديد بعد 15 دقيقة لكن ليس لديه حساب Microsoft 365 بعد. ماذا ينبغي أن تفعل؟,منحهم بيانات تسجيل دخول موظف آخر للصباح.,منحهم الوصول إلى حساب Gmail شخصي بدلاً من ذلك.,إنشاء حسابهم وتعيين الأذونات الصحيحة في أسرع وقت ممكن.,C
IT (AR),6,يبدأ اجتماع مجلس الإدارة بعد ثلاث دقائق وغرفة Microsoft Teams لا تتصل. ما أفضل استجابة لك؟,طلب من الجميع تأجيل الاجتماع حتى الغد.,استكشاف أخطاء غرفة Teams وإصلاحها فوراً وتشغيلها.,اقتراح انضمام الجميع من أجهزتهم المحمولة بينما تواصل التحقيق.,B
IT (AR),7,أبلغ مدير أول عن فقدان هاتفه المحمول الخاص بالشركة. ما أول شيء ينبغي عليك فعله؟,الانتظار لترى إن كان أحد سيسلّمه.,قفل الجهاز أو مسحه عن بُعد وتأمين حساب الشركة.,شراء هاتف جديد تماماً لهم على الفور.,B
IT (AR),8,أبلغ قسم المالية عن عدم إمكانية معالجة مدفوعات الموردين لأن نظام تخطيط موارد المؤسسات (ERP) غير متاح. ما أولويتك؟,إخبار الموردين بأنهم سيضطرون للانتظار حتى الأسبوع القادم.,الاستمرار في معالجة المدفوعات يدوياً إلى الأبد.,التصعيد الفوري للانقطاع والبدء في استعادة خدمة النظام.,C
IT (AR),9,تلقيت تنبيهاً بأن النسخ الاحتياطي السحابي الليلة الماضية فشل. ماذا ينبغي أن تفعل؟,التحقيق في النسخ الاحتياطي الفاشل والتأكد من تشغيل نسخ احتياطي ناجح في أقرب وقت ممكن.,إيقاف تشغيل تنبيهات النسخ الاحتياطي حتى تتوقف عن الظهور.,الانتظار حتى الغد لترى إن كان يصلح نفسه تلقائياً.,A
IT (AR),10,أدى انقطاع التيار الكهربائي إلى إغلاق المكتب الرئيسي في منتصف يوم العمل. ماذا ينبغي أن يحدث بعد ذلك؟,الانتظار حتى عودة الكهرباء قبل اتخاذ أي قرارات.,تفعيل خطة التعافي من الكوارث واستعادة أنظمة الأعمال الحيوية.,إرسال الجميع إلى المنزل والأمل في أن يعمل كل شيء غداً.,B
FINANCE (AR),1,"أنت تراجع المدفوعات وتلاحظ أن نفس المورّد قدّم فاتورتين بقيمة 250,000 درهم بالضبط.",دفع كليهما بسرعة حتى يبقى المورّد سعيداً.,التحقق فيما إذا كانت إحداهما مكررة قبل الموافقة على الدفع.,دفع نصف كل فاتورة حتى يكسب الجميع.,B
FINANCE (AR),2,يسأل المدير التنفيذي إن كانت الشركة قادرة على شراء عشر سيارات جديدة للشركة هذا الشهر.,مراجعة ميزانية الشركة والوضع النقدي قبل الإجابة.,إخبار المدير التنفيذي بأنها تبدو فكرة جيدة.,شرائها أولاً وحساب الميزانية لاحقاً.,A
FINANCE (AR),3,يريد مدير مشروع شراء ماكينة قهوة ذهبية لمكتب الموقع لأن الفريق يستحق ذلك.,الموافقة عليها فوراً لأن القهوة مهمة.,السؤال عما إذا كان الشراء ضمن الميزانية وضرورياً فعلاً.,شراء اثنتين في حال تعطّل إحداهما.,B
FINANCE (AR),4,يعرض مورّد خصماً بنسبة 15٪ إذا دفعت اليوم.,الدفع فوراً دون التحقق من أي شيء.,تجاهل الخصم تماماً.,التحقق من الموافقات والتدفق النقدي لترى إن كان أخذ الخصم يفيد الشركة.,C
FINANCE (AR),5,اكتشفت أن شخصاً ما أضاف صفراً إضافياً إلى دفعة. بدلاً من 5000 درهم أصبحت 50000 درهم!,التظاهر بأنك لم تلاحظ.,إيقاف الدفعة والتحقيق قبل مغادرة أي أموال للشركة.,الأمل في أن يلاحظ البنك بدلاً منك.,B
FINANCE (AR),6,يسأل مدير المالية عن مشروع البناء الذي يحقق أكبر ربح.,التخمين بأن المبنى الأكبر يجب أن يكون الأكثر ربحاً.,تحليل التقارير المالية للمشروع قبل الإجابة.,سؤال حارس الأمن.,B
FINANCE (AR),7,خلال وقت الغداء وجدت قرصاً USB مكتوب عليه رواتب الشركة.,توصيله بحاسوبك لترى ما بداخله.,تسليمه لأقرب شخص تراه.,معاملته كمعلومات حساسة واتباع إجراءات أمن الشركة.,C
FINANCE (AR),8,يتصل مورّد قائلاً إنه لم يتلقَّ الدفعة لكن سجلاتك تُظهر أن الدفعة تمت أمس.,دفعه مرة أخرى لتجنب الجدال.,التحقق من تفاصيل الدفعة والمساعدة في تتبع أين ذهبت الأموال.,إخبارهم بأنهم سيضطرون لمعرفة ذلك بأنفسهم.,B
FINANCE (AR),9,أنت تُعدّ ميزانية العام القادم وطلب أحد الأقسام مليوني درهم لأشياء ممتعة.,الموافقة عليه لأنه يبدو مثيراً للاهتمام.,طلب مبرر تجاري مفصّل قبل إدراجه.,تقليصه إلى مليون درهم دون السؤال عن سبب حاجتهم إليه.,B
FINANCE (AR),10,في حفل جوائز الشركة السنوية يسألك مديرك عمّا تفعله المالية حقاً للأعمال.,عدّ الأموال طوال اليوم.,جعل جداول البيانات تبدو جميلة.,مساعدة الأعمال على اتخاذ قرارات مالية ذكية وحماية أموال الشركة.,C
MARKETING (AR),1,تم وضع لوحة إعلانية لمشروع شقق فاخرة جديدة للتو لكن شخصاً ما لاحظ أن رقم الهاتف خاطئ. ماذا تفعل؟,التواصل مع شركة اللوحة الإعلانية فوراً وترتيب تصحيح الإعلان في أسرع وقت ممكن.,تركه لأن الناس ربما سيجدون الموقع الإلكتروني بدلاً من ذلك.,إرسال شخص ما بقلم ماركر عملاق لتصحيح الرقم يدوياً.,A
MARKETING (AR),2,لديك ميزانية كافية لنشاط تسويقي رئيسي واحد فقط للترويج لمشروع شقق فاخرة يستهدف المهنيين الشباب في دبي. أيهما تختار؟,إطلاق حملة رقمية مستهدفة على LinkedIn وInstagram تستهدف المهنيين الشباب.,نشر إعلان بصفحة كاملة في مجلة نمط حياة فاخرة.,تنظيم حفلة إطلاق ضخمة في دبي مارينا مع موسيقيين وألعاب نارية وطعام مجاني.,A
MARKETING (AR),3,يلغي المصوّر في اليوم السابق لإطلاق حملة شققك الفاخرة. ماذا تفعل؟,ترتيب مصوّر آخر أو إعادة جدولة الجلسة حتى تنطلق الحملة باحترافية.,استخدام صور المشروع السابق - إنها قريبة بما يكفي.,تنزيل صور شقق عشوائية من Google Images والأمل في ألا يلاحظ أحد.,A
MARKETING (AR),4,اكتشفت أن أحد إعلاناتك على وسائل التواصل الاجتماعي يحتوي على خطأ إملائي بعد نشره بالفعل. ماذا تفعل؟,تصحيحه في أقرب وقت ممكن وإعادة نشر الإعلان.,تركه لأن معظم الناس على الأرجح لن يلاحظوا.,إخبار الجميع بأن الخطأ الإملائي كان جزءاً من استراتيجية تسويقية ذكية.,A
MARKETING (AR),5,تلقّى أحد منشوراتك على وسائل التواصل الاجتماعي تعليقاً سلبياً من عميل غير راضٍ. ماذا تفعل؟,الرد بأدب وشكرهم على الملاحظة ومحاولة حل المشكلة.,تجاهل التعليق والأمل في اختفائه.,الرد باستخدام حسابك الشخصي وبدء جدال في التعليقات.,A
MARKETING (AR),6,يعرض مؤثر لديه مليونا متابع الترويج لمشروع شققك الفاخرة. ما أول ما تفعله؟,التحقق مما إذا كان جمهورهم وسمعتهم وشراكاتهم السابقة مناسبة لعلامتك التجارية قبل اتخاذ القرار.,سؤالهم إن كانوا سيلتقطون صورة سيلفي معك قبل مناقشة الحملة.,معرفة إن كانت الشركة تستطيع تقديم شقة فاخرة مجانية مقابل أن يصبحوا سفيراً للعلامة التجارية.,A
MARKETING (AR),7,توصّل فريقك إلى ثلاثة عناوين لمشروع شقق فاخرة جديدة. أيها تختار؟,حيث تبدأ فصلك الجديد.,شقق فاخرة متوفرة الآن.,اشترِ واحدة اليوم... لأن أصدقاءك اشتروا بالفعل.,A
MARKETING (AR),8,انطلقت الحملة للتو والناس ينقرون على إعلانك لكن لا أحد يستفسر عن الشقق. ماذا تفعل؟,مراجعة الإعلان وعملية الاستفسار لفهم سبب عدم اتخاذ الناس للخطوة التالية.,مضاعفة ميزانية الإعلان فوراً.,افتراض أن الجميع يتصفح فقط والإعلان عن نجاح الحملة.,A
MARKETING (AR),9,تعرض وكالة التصميم ثلاثة إعلانات مختلفة لنفس مشروع الشقق الفاخرة. أيها توافق عليه؟,الإعلان الذي يحتوي على صورة جميلة واحدة وعنوان واضح وطريقة سهلة للتواصل مع فريق المبيعات.,إعلان محشو بكل ميزة وسعر وجائزة وشعار يمكن للفريق التفكير فيها.,إعلان تحتل فيه الشقة ركناً صغيراً لأن شعار الشركة يغطي نصف الصفحة.,A
MARKETING (AR),10,يسألك المدير التنفيذي: هل كانت الحملة ناجحة؟ ما أفضل دليل؟,أنتجت الحملة استفسارات قوية وعالية الجودة يمكن لفريق المبيعات متابعتها.,حصل الفيديو التسويقي على الكثير من الإعجابات على وسائل التواصل الاجتماعي.,شاركت والدتك الإعلان على Facebook.,A
HUMAN RESOURCES (AR),1,يبدأ موظف جديد اليوم ويبدو ضائعاً تماماً وهو واقف في الاستقبال. ماذا تفعل؟,التوجه إليه وإلقاء التحية ومساعدته في إيجاد المكان الذي يحتاج إليه.,إخباره بأن شخصاً ما سيأتي في النهاية على الأرجح.,التظاهر بأنك مديره وإرساله لتنظيف مكتب المدير التنفيذي.,A
HUMAN RESOURCES (AR),2,يخبرك موظف بشيء شخصي ويطلب منك إبقاءه سرياً. ماذا ينبغي أن تفعل؟,إبقاؤه لنفسك ما لم يكن هناك سبب مهم حقاً يستدعي علم شخص آخر.,ذكره لبعض الزملاء فقط حتى يكونوا على علم.,نشره في مجموعة الشركة لأن الجميع ينبغي أن يعلم.,A
HUMAN RESOURCES (AR),3,موظفان يتجادلان بصوت عالٍ في المكتب. ما أفضل خطوة أولى؟,تهدئة الأمور والاستماع إلى كلا الجانبين قبل اتخاذ أي قرار.,تحديد من يبدو أكثر موثوقية.,تنظيم مسابقة مصارعة ذراع لتسوية الأمر.,A
HUMAN RESOURCES (AR),4,يؤدي مرشحان أداءً متساوياً في مقابلة. من ينبغي للموارد البشرية توصيته؟,اختيار الشخص الأنسب للوظيفة.,من ابتسم أكثر.,من استخدم السيرة الذاتية بأجمل خط.,A
HUMAN RESOURCES (AR),5,يتأخر موظف خمس دقائق كل يوم. ماذا ينبغي للموارد البشرية أن تفعل؟,التحدث معه ومعرفة ما يجري.,تجاهل الأمر إلى الأبد.,تركيب ساعة عدّ تنازلي عملاقة فوق مكتبه.,A
HUMAN RESOURCES (AR),6,يصل مرشح متوتر لمقابلة. ماذا ينبغي أن تفعل؟,مساعدتهم على الاسترخاء حتى تتمكن من رؤية طبيعتهم الحقيقية.,إخبارهم بأن المقابلات من المفترض أن تكون مجهدة.,البدء بقول بشكل درامي: إذاً... اشرح نفسك.,A
HUMAN RESOURCES (AR),7,يطلب موظف إجازة سنوية خلال إحدى أكثر أسابيع العام ازدحاماً. ماذا ينبغي للموارد البشرية أن تفعل؟,معرفة ما إذا كان هناك حل يناسب كلاً من الموظف والشركة.,الموافقة على كل طلب تلقائياً.,إخبار الجميع بأن المكتب مغلق الآن لأن شخصاً واحداً يريد إجازة.,A
HUMAN RESOURCES (AR),8,أرسل شخص ما عن طريق الخطأ بريداً إلكترونياً يحتوي على معلومات رواتب الموظفين إلى القسم الخاطئ. ماذا ينبغي للموارد البشرية أن تفعل أولاً؟,محاولة منع أي شخص آخر من رؤيته وإخبار الأشخاص المعنيين على الفور.,الأمل في ألا يفتحه أحد.,الرد على الكل: يرجى تجاهل هذا... ولكن بما أنك هنا...,A
HUMAN RESOURCES (AR),9,أي غرفة لمقابلة عمل ستعطي أفضل انطباع أول لمرشح للوظيفة؟ (سؤال بصري),غرفة نظيفة ومرتبة حيث المحاور جاهز ومنتظر.,غرفة فوضوية مع أوراق في كل مكان وهاتف يرن والمحاور يأكل الغداء.,غرفة بكرسي واحد تحت ضوء ساطع وعداد تنازلي عملاق والمحاور يرتدي نظارات شمسية.,A
HUMAN RESOURCES (AR),10,يسأل المدير التنفيذي: ما أهم مهام الموارد البشرية؟,المساعدة في جعل الشركة مكاناً رائعاً للعمل للجميع.,جعل الناس يملؤون الكثير من النماذج.,إخبار الموظفين بأنه لم يعد بإمكانهم الاستمتاع.,A
LEGAL & COMPLIANCE (AR),1,يقدم لك مورّد هدية باهظة الثمن بعد الفوز بعقد. ماذا ينبغي أن تفعل؟,شكرهم بأدب وشرح أنك لا تستطيع قبول الهدايا الباهظة.,قبولها لأنهم كانوا مورّداً جيداً حقاً.,قبولها وإخبارهم بأن الهدايا الأكبر تعني عقوداً أكبر.,A
LEGAL & COMPLIANCE (AR),2,أنت على وشك التوقيع على عقد بقيمة ملايين الدراهم لكنك تلاحظ أن هناك صفحة لم تقرأها. ماذا تفعل؟,قراءتها قبل التوقيع.,التوقيع على أي حال لأن الجميع وقّع بالفعل.,جعل زميلك يوقّع عليها بدلاً منك.,A
LEGAL & COMPLIANCE (AR),3,تلاحظ أن زميلاً على وشك إرسال معلومات سرية للشركة إلى الشخص الخطأ. ماذا ينبغي أن تفعل؟,إيقافهم قبل إرسالها.,افتراض أن الأمر سيكون على ما يرام على الأرجح.,إخبارهم بالضغط على إرسال للجميع فقط لتكون آمناً.,A
LEGAL & COMPLIANCE (AR),4,يطلب منك شخص ما تغيير تاريخ اليوم على وثيقة لتسهيل الأمور. ماذا تفعل؟,الشرح بأن الوثائق ينبغي أن تكون دائماً دقيقة.,فعل ذلك لأنه مجرد تاريخ واحد.,تغيير السنة أيضاً بما أنك في الأمر.,A
LEGAL & COMPLIANCE (AR),5,وجدت ظرفاً مليئاً بالنقود على مكتبك دون أي ملاحظة. ماذا ينبغي أن تفعل؟,تسليمه للشخص المناسب ودعهم يكتشفون لمن ينتمي.,الاحتفاظ به في مكان آمن حتى يطلبه أحد.,افتراض أنه مكافأتك وطلب سيارة رياضية.,A
LEGAL & COMPLIANCE (AR),6,أي مكتب قانوني وامتثال يبدو الأكثر احترافية؟ (سؤال بصري),مكتب مرتب مع ملفات منظمة وجارور مقفل وشاشة بعيدة عن الزوار.,مكتب مغطى بوثائق سرية مفتوحة وملاحظات لاصقة تحتوي على كلمات مرور.,مكتب يستخدم الملفات السرية كحامل للقهوة.,A
LEGAL & COMPLIANCE (AR),7,يصل مقاول إلى الموقع لكنه لا يحمل الهوية المطلوبة أو تصريح الدخول. ماذا ينبغي أن تفعل؟,مطالبتهم بالانتظار حتى يتم التحقق من كل شيء.,السماح لهم بالدخول لأنهم يبدون ودودين.,إعطائهم خوذة أمان وإخبارهم بأنهم المدير التنفيذي الجديد.,A
LEGAL & COMPLIANCE (AR),8,تلاحظ أن شخصاً ما لا يتبع قاعدة سلامة أو شركة مهمة. ماذا ينبغي أن تفعل؟,قول شيء قبل أن يتحول إلى مشكلة أكبر.,تجاهله لأنه ليس من مهامك.,الانضمام حتى لا يشعر أحد بأنه مستبعد.,A
LEGAL & COMPLIANCE (AR),9,يصل مرشح لاجتماع ويبدو متوتراً قليلاً. ماذا ينبغي أن تفعل؟,مساعدتهم على الاسترخاء حتى تتمكن من رؤية طبيعتهم الحقيقية.,إخبارهم بأن الاجتماعات من المفترض أن تكون مجهدة.,البدء بقول: حسناً... اشرح نفسك.,A
LEGAL & COMPLIANCE (AR),10,يسأل المدير التنفيذي: ما أكبر مهام القانون والامتثال؟,مساعدة الشركة على البقاء بعيدة عن المشاكل من خلال فعل الأمور بالطريقة الصحيحة.,جعل كل اجتماع أطول.,قول لا لكل شيء تماماً.,A
OPERATIONS & SUPPLY CHAIN (AR),1,وصلت الخرسانة إلى الموقع لكن تسليم الفولاذ متأخر. ماذا ينبغي أن تفعل؟,إخبار الجميع قبل أن يتسبب التأخير في مشاكل أكبر.,الانتظار قليلاً في حال وصول الفولاذ قريباً.,صب الخرسانة على أي حال والأمل بالأفضل.,A
OPERATIONS & SUPPLY CHAIN (AR),2,تعطّل رافعة قبيل رفع رئيسي مباشرة. ما أول شيء تفعله؟,إخبار الفريق حتى يتمكنوا من الانتقال إلى شيء آخر.,التركيز على إصلاح الرافعة قبل تحديث الجميع.,استئجار طائرة مروحية بدلاً من ذلك.,A
OPERATIONS & SUPPLY CHAIN (AR),3,حجز مقاولان نفس منطقة العمل في نفس الوقت. ماذا ينبغي أن تفعل؟,الاتصال بأحد الفريقين ونقلهم إلى وقت مختلف.,السماح لهم بحل الأمر بينهم.,إخبارهم بأن الأول عبر البوابة يفوز.,A
OPERATIONS & SUPPLY CHAIN (AR),4,أي موقع بناء يبدو الأكثر تنظيماً؟ (سؤال بصري),مناطق تخزين محددة بوضوح ومواد مرتبة وطرق وصول نظيفة ومعدات مركونة بشكل منظم.,مواد مكدسة في كل مكان وطرق وصول مسدودة وتسليمات مختلطة.,مواد بناء مكدسة مثل لعبة Jenga العملاقة ومعدات متروكة أينما توقفت.,A
OPERATIONS & SUPPLY CHAIN (AR),5,يتصل مورّد ليقول إن البلاط لن يصل حتى الأسبوع القادم. ماذا ينبغي أن تفعل؟,تنبيه فريق الموقع حتى يتمكنوا من تغيير الخطة.,الانتظار حتى يسأل شخص ما عن مكان البلاط.,شراء كل البلاط من أقرب متجر.,A
OPERATIONS & SUPPLY CHAIN (AR),6,ينهي أحد الفرق عمله في وقت أبكر من المتوقع. ماذا ينبغي أن تفعل؟,معرفة ما إذا كان هناك عمل آخر يمكنهم المساعدة فيه.,إخبارهم بالانتظار حتى الغد.,منح الجميع بعد الظهر إجازة.,A
OPERATIONS & SUPPLY CHAIN (AR),7,وصل تسليم لكنها المواد الخاطئة. ماذا ينبغي أن تفعل؟,رفض التسليم قبل أن يفرغه أحد.,الاحتفاظ به لأنه يبدو قريباً بما يكفي.,إخفاؤه خلف مكتب الموقع والأمل في ألا يلاحظ أحد.,A
OPERATIONS & SUPPLY CHAIN (AR),8,يسأل مدير المشروع عن موعد وصول التسليم التالي لكنك لا تعلم. ماذا ينبغي أن تفعل؟,معرفة الأمر أولاً بدلاً من التخمين.,تخمين وقت يبدو معقولاً.,إخبارهم بخمس دقائق في كل مرة يسألون.,A
OPERATIONS & SUPPLY CHAIN (AR),9,تُتوقع أمطار غزيرة غداً وقد يتأثر العمل في الهواء الطلق. ماذا ينبغي أن تفعل؟,الاستعداد الآن حتى يسير الغد بسلاسة قدر الإمكان.,تجاهل التوقعات لأنه قد لا يمطر.,سؤال أحدهم إن كان بإمكانه إعادة جدولة الطقس.,A
OPERATIONS & SUPPLY CHAIN (AR),10,يسأل المدير التنفيذي: ما أكبر مهام العمليات؟,إبقاء كل شيء يسير حتى عندما لا تسير الأمور وفق الخطة.,طلب الكثير من المعدات.,قيادة الرافعات الشوكية طوال اليوم.,A
PROJECT MANAGEMENT (AR),1,طُلب منك للتو قيادة مشروع جديد تماماً. ما أول شيء تفعله؟,جمع الجميع وشرح الهدف والاتفاق على خطة.,البدء في العمل فوراً ومعرفة الأمور أثناء سير المشروع.,إخبار الجميع: سنرتجل الأمور أثناء سير المشروع !,A
PROJECT MANAGEMENT (AR),2,في منتصف المشروع يطلب العميل ميزة إضافية لم تكن في الخطة الأصلية. ماذا تفعل؟,معرفة كيف تؤثر على الميزانية والجدول الزمني وحجم العمل قبل الموافقة.,إضافتها الآن وتعديل الجدول لاحقاً.,الوعد بميزات أكثر بما أنك في الأمر.,A
PROJECT MANAGEMENT (AR),3,يقول أحد أعضاء فريقك إنه يجد صعوبة في إنهاء عمله. ما خطوتك التالية؟,معرفة ما يعيقهم والمساعدة في إزالة المشكلة.,منحهم مزيداً من الوقت والأمل في أن يلحقوا.,إخبارهم بمشاهدة بعض مقاطع الفيديو التحفيزية وسيكون كل شيء على ما يرام.,A
PROJECT MANAGEMENT (AR),4,ثلاث مهام مهمة تحتاج إلى انتباهك في نفس الوقت. ماذا تفعل؟,معرفة أيها أكثر إلحاحاً والتعامل معها أولاً.,مساعدة من طلب منك أولاً.,طرحها في المحادثة الجماعية والسماح للجميع بالتصويت.,A
PROJECT MANAGEMENT (AR),5,لم يصل تسليم يعتمد عليه مشروعك. ماذا تفعل؟,إخبار الفريق وتعديل الخطة حتى يتمكن العمل من الاستمرار حيثما أمكن.,الانتظار قليلاً في حال ظهوره.,الاستمرار في تحديث صفحة التتبع كل 10 ثوانٍ حتى يصل.,A
PROJECT MANAGEMENT (AR),6,يسأل العميل عن سير المشروع لكنك متأخر عن الجدول الزمني. ماذا تفعل؟,تكون صادق بشأن التأخير وشرح كيفية العودة إلى المسار الصحيح.,الانتظار حتى تحل المشكلة قبل إخبارهم.,تحويل هاتفك إلى الصامت والأمل في أنهم ينسون السؤال.,A
PROJECT MANAGEMENT (AR),7,ينهي فريقك مرحلة من المشروع في وقت أبكر من المتوقع. ما أفضل خطوة تالية؟,البدء في المهمة المخططة التالية بينما لديك زخم.,إبطاء الأمور حتى تنتهي في الموعد النهائي الأصلي.,الاحتفال كأنك أنهيت المشروع بأكمله.,A
PROJECT MANAGEMENT (AR),8,تلاحظ مشكلة صغيرة قد تتحول إلى مشكلة أكبر بكثير لاحقاً. ماذا تفعل؟,التعامل معها الآن بينما لا يزال إصلاحها سريعاً وسهلاً.,مراقبتها والتصرف فقط إذا تفاقمت.,إعادة تسميتها مشكلة مستقبلي والمضي قدماً.,A
PROJECT MANAGEMENT (AR),9,قبيل الإطلاق مباشرة يتوصل شخص ما إلى فكرة جديدة رائعة. ماذا تفعل؟,التحقق مما إذا كانت الفوائد تستحق الوقت والتكلفة والمخاطر الإضافية قبل اتخاذ القرار.,إضافتها لأن الأفكار الجيدة لا ينبغي أبداً تجاهلها.,إلغاء الإطلاق والبدء في المشروع بأكمله من جديد.,A
PROJECT MANAGEMENT (AR),10,يسأل شخص ما: ما أهم مهام مدير المشروع؟,مساعدة الناس على العمل معاً لتسليم المشروع بنجاح.,التأكد من أن الجميع مشغول طوال اليوم.,حجز ما يكفي من الاجتماعات بحيث لا يجد أحد وقتاً للقيام بأي عمل فعلي.,A
SALES & BUSINESS DEVELOPMENT (AR),1,يمشي شخص ما نحو جناحك في معرض التوظيف. ما أول خطوة تتخذها؟,سؤالهم عمّا يبحثون عنه قبل أن تبدأ بالحديث.,إخبارهم بكل شيء عن شركتك.,سؤالهم إن أرادوا شراء شيء ما قبل قول مرحبا.,A
SALES & BUSINESS DEVELOPMENT (AR),2,يقول عميل: سأفكر في الأمر. ماذا تفعل؟,قول لا مشكلة والاتفاق متى ستتابع معهم.,الانتظار والأمل في أنهم يتذكرونك.,إرسال رسالة لهم كل صباح بـ مجرد تفقّد...,A
SALES & BUSINESS DEVELOPMENT (AR),3,يقول شخص ما إن شركة أخرى أرخص. ماذا تفعل؟,إظهار سبب استحقاقك دفع مبلغ أكبر قليلاً.,مطابقة السعر الأرخص فوراً.,إخبارهم بأنهم سيندمون إلى الأبد.,A
SALES & BUSINESS DEVELOPMENT (AR),4,تتحدث مع عميل محتمل وتدرك أن منتجك ليس مناسباً لهم في الواقع. ماذا تفعل؟,إخبارهم بصدق حتى لو كان ذلك يعني عدم إتمام البيع.,محاولة بيعه على أي حال.,التظاهر بأن لديك فجأة مكالمة هاتفية مهمة.,A
